,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
62,1.0382240772247315,0.058488274018725236,0.006011867523193359,0.0006327132217745794,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9337238148343918,0.9264232578834781,0.9273669554388237,0.9165816993435529,0.8944284233270671,0.9197048301654627,0.013776995714925674,11,-4.185690845657517,-4.4136632105823805,-4.613141503612697,-4.700069114573163,-5.659354425215158,-4.714383819928183,0.5046530507561074,11
60,0.2209996223449707,0.004569019232102565,0.005584716796875,0.0007978680795321018,0.1,0.1,9,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9339720361824961,0.9257328948624761,0.9275770062170351,0.9162539616482004,0.8942505006495954,0.9195572799119607,0.013867836287972578,12,-4.1778452487995015,-4.434321339937436,-4.606466197952105,-4.709292988612774,-5.664121350320858,-4.718409425124535,0.5059448803682516,12
21,0.15019850730895995,0.007372248265507196,0.004987668991088867,8.035802624870642e-07,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9374868782554846,0.9059430992798176,0.9360935402806158,0.9193292670593978,0.889511493499736,0.9176728556750102,0.01824998803008153,13,-4.065125805438124,-4.99027232113436,-4.3271508104271685,-4.6220174039803705,-5.789645075712817,-4.758842283338568,0.6004057605098582,13
57,0.16475987434387207,0.01153460352976158,0.0054152488708496095,0.00046738199086400755,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9363318506332812,0.9063855114429714,0.9354498417119461,0.921289505619043,0.8877883911924083,0.9174490201199299,0.018425494987509637,14,-4.1025086951416325,-4.978522202766193,-4.3488888471866884,-4.565516273931608,-5.834616069459437,-4.766010417697112,0.6068776054321108,14
53,1.111030673980713,0.04410387678303573,0.008974647521972657,0.0010927546141617649,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9307957227934864,0.9140713567580225,0.9238067563524621,0.9158969751521655,0.890921920524265,0.9150985463160805,0.013479140277276721,15,-4.277153784190765,-4.76977497970908,-4.724848451469995,-4.719319529981696,-5.752572895493396,-4.848733928168987,0.48620138896988513,15
17,1.1086925506591796,0.012805183579853436,0.008520174026489257,0.0005648008504530879,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9307802421659601,0.9130413983449612,0.922969767974008,0.915486817421876,0.8916503105234642,0.9147857072860539,0.013126955075992493,16,-4.277632145679513,-4.7982755831472055,-4.7507289743926115,-4.730813237495616,-5.733333763675861,-4.858156740878162,0.4762953858228344,16
19,0.16635518074035643,0.006096120201065056,0.0043889045715332035,0.0004888309005836067,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9382771158915848,0.9012219448762252,0.929672484217526,0.9097186004166167,0.8728596188431985,0.9103499528490303,0.022989262421427348,17,-4.03935015905575,-5.11398146067097,-4.539335583087375,-4.889593065263766,-6.210622664184321,-4.958576586452436,0.7235010747217009,17
55,0.19148712158203124,0.016056583779198205,0.005018854141235351,6.299569310200049e-05,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9386342929943868,0.9012219448762252,0.9304843288312828,0.9081734558065488,0.8728598561331589,0.9102747757283206,0.023233311242044096,18,-4.027645774939099,-5.11398146067097,-4.513059009041393,-4.931257660919681,-6.210616868546933,-4.959312154823615,0.7290565477263545,18
14,0.7585716247558594,0.013269743715735539,0.006383752822875977,0.0004886368298726137,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9280166666586716,0.9023331430672012,0.9228304876371553,0.9082139935471281,0.8842148312878727,0.9091218244396057,0.015570556629183718,19,-4.362187950870167,-5.085135381829988,-4.755021992101362,-4.9301690644109,-5.926794315765614,-5.011861740995606,0.5171435055015168,19
50,0.8105469703674316,0.041383692298568,0.007480764389038086,0.000997448266150859,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9270861417419308,0.9031828551706231,0.922187647057493,0.9060941596520363,0.8856678463676648,0.9088437299979496,0.014748375718506793,20,-4.390292308340629,-5.062966447563658,-4.774786155254141,-4.986776185293174,-5.889488544639177,-5.020861928218156,0.4930756856157932,20
64,0.16435956954956055,0.006351446373279104,0.004588556289672851,0.0004886753523978241,0.1,1,3,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.9160479577704355,0.8942227311377637,0.9089800202387858,0.9158211338948367,0.876081965296739,0.9022307616677121,0.015290871272045458,21,-4.710901564321694,-5.292064010073921,-5.164140139647658,-4.721446911690409,-6.13141409374087,-5.2039933438949095,0.5187378007608091,21
65,0.4111001014709473,0.029500299252112658,0.0047876834869384766,0.00039827853253903605,0.1,1,3,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.9162004201684371,0.8963486850525707,0.9090341589425582,0.9151528087787628,0.8739292828329813,0.902133071155062,0.015773025626076142,22,-4.706621967797362,-5.238613066257585,-5.162604095364296,-4.740152457189322,-6.1844417162351055,-5.206486660568734,0.5341696690557693,22
63,0.09595308303833008,0.004187381750255218,0.004777860641479492,0.0003946025388197482,0.1,1,3,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.918553335163263,0.8871565521758749,0.9131063535019149,0.9141639873789266,0.8728947921266415,0.9011750040693242,0.017940816922995904,23,-4.640075525155298,-5.465968032161675,-5.045726002028477,-4.76769365743375,-6.209763522895804,-5.225845347935001,0.5676664714525128,23
28,0.1697451114654541,0.003857638445627391,0.004987668991088867,0.0006312790103305775,0.01,1,3,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.9176031340958367,0.8866245055306075,0.9047064422535908,0.9142483155291543,0.8753239025737867,0.8997012599965952,0.016262858498070284,24,-4.667063860003011,-5.47883865137844,-5.283983133367246,-4.7653511116289495,-6.150139816998061,-5.269075314675141,0.5360323538794215,24
27,0.09334959983825683,0.006231723623174486,0.004987287521362305,1.1718946196980007e-06,0.01,1,3,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.914303228362584,0.8823303368122131,0.9120083490573281,0.9141639873789266,0.8728947921266415,0.8991401387475386,0.017847206007135352,25,-4.759601883625301,-5.58163160364499,-5.077505295832664,-4.76769365743375,-6.209763522895804,-5.279239192686502,0.5531211498509134,25
29,0.40549454689025877,0.003423596382167546,0.005186843872070313,0.00039896994946708963,0.01,1,3,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.9156680406059466,0.8845188913052954,0.9033204060389296,0.9143729298108122,0.8724905122465265,0.898074156001502,0.016976371646394296,26,-4.721548905626464,-5.529481204666406,-5.322271938555622,-4.761887350509831,-6.21963129073997,-5.310964138019658,0.5518059811130962,26
18,0.0889702320098877,0.006079399769162519,0.004779005050659179,0.0003952165653193414,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8929674329372913,0.8571017164466883,0.8968033223643268,0.024662282068118862,27,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.323920306190351,-6.584258838469659,-5.324180944055331,0.7261720921163274,27
54,0.09315996170043946,0.00390899831896019,0.004578971862792968,0.00048133891345677744,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8922815813404307,0.8571001618923307,0.8966658411340831,0.024685630685928543,28,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.340950582807267,-6.5842946526172375,-5.32759416220823,0.7262152157477825,28
11,0.4521909236907959,0.01646785328967207,0.0053863048553466795,0.0004883637907999057,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9030674173827562,0.8622286094587845,0.8945578758085269,0.864862226758964,0.8333104630666031,0.8716053184951269,0.02496626309420755,29,-5.062013382348985,-6.039603591717108,-5.558232703053495,-5.982214130113453,-7.111276404647721,-5.950668042376153,0.6781783037668029,29
47,0.4661618709564209,0.031884790558977194,0.005378150939941406,0.0004957223635660855,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",0.9030674173827562,0.8622286094587845,0.8945579319371232,0.864862226758964,0.8333103807063176,0.8716053132487891,0.02496629868040453,30,-5.062013382348985,-6.039603591717108,-5.558231223683445,-5.982214130113453,-7.111278161466696,-5.950668097865938,0.6781790762884254,30
66,0.16934690475463868,0.019850720316118713,0.004986763000488281,7.231593555499601e-07,0.1,1,6,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.826806004565671,0.8489300505378701,0.8281746965671208,0.8823848241297573,0.8461039027298808,0.84647989570606,0.02008706460709926,31,-6.766355514381236,-6.324379987944413,-7.095340008853206,-5.580913048947986,-6.832933475707423,-6.519984407166852,0.5309964246600335,31
67,0.3083763122558594,0.015038527706926316,0.0045872688293457035,0.00048762395975877003,0.1,1,6,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8268059890171181,0.8489300451165867,0.8281746965671208,0.8823848281682328,0.8461038884825911,0.8464798894703298,0.02008706901765618,32,-6.766355818107223,-6.324380101422495,-7.095340008853206,-5.5809129531339,-6.832933791994783,-6.5199845347023215,0.5309965156552365,32
